,publication_id,publication_kind,publication_date,application_id,application_date,country,inventor_name,inventor_firstname,inventor_country,invention_title,number_of_claims,attorney_name,attorney_firstname,inventor males,inventor females,inventor team size,attorney males,attorney females,attorney team size,Year,WorldWide Applications,Original Names
71920,US10950523,B2,20210316,US16426612,20190530,KR,"['Kim Dong-Wan', 'Han Jung-Hoon', 'Park Dong-Sik']","['Dong-Wan', 'Jung-Hoon', 'Dong-Sik']","['KR', 'KR', 'KR']",Semiconductor devices having through electrodes and methods for fabricating the same,14,[],[],1,2,3,0,0,0,2022,['KR20170104045A/en'],"[['김동완', '한정훈', '박동식']]"
71922,US10950525,B2,20210316,US16558555,20190903,CN,"['Jin Li Zhong', 'Lu Li Hui', 'Fei Chun Chao', 'Chiang Po Yuan', 'Wang Ya Ping']","['Li Zhong', 'Li Hui', 'Chun Chao', 'Po Yuan', 'Ya Ping']","['CN', 'CN', 'CN', 'CN', 'CN']",Fabrication method of packaging structure,19,[],[],3,2,5,0,0,0,2022,['CN108231723B/en'],"[['金立中', '陆丽辉', '费春潮', '江博渊', '王亚平']]"
71925,US10950528,B2,20210316,US16248069,20190115,CN,['Chen Shijie'],['Shijie'],['CN'],Chip package assembly and method for manufacturing the same,9,[],[],1,0,1,0,0,0,2022,['CN108321151A/en'],[['陈世杰']]
71926,US10950529,B2,20210316,US16118231,20180830,US,"['Bae Soonheung', 'Kim Hyunjoung']","['Soonheung', 'Hyunjoung']","['KR', 'KR']",Semiconductor device package,19,[],[],0,2,2,0,0,0,2022,['CN110875260A/en'],"[['裴栒兴', '金炫廷']]"
71936,US10950539,B2,20210316,US16351709,20190313,KR,"['Kim Jongyoun', 'Lee Seokhyun', 'Bae Minjun']","['Jongyoun', 'Seokhyun', 'Minjun']","['KR', 'KR', 'KR']","Redistribution substrate, method of fabricating the same, and semiconductor package including the same",21,[],[],1,2,3,0,0,0,2022,"['KR20200031202A/en', 'CN110896062A/en']","[['김종윤', '이석현', '배민준'], ['金钟润', '李锡贤', '裵珉准']]"
71938,US10950541,B2,20210316,US16441042,20190614,KR,"['Hwang Soon Gyu', 'Lee Kyoung Woo', 'Cho YoungWoo', 'Kim Il Sup', 'Bark Su Hyun', 'Park Young-Ju', 'Baek Jong Min', 'Huh Min']","['Soon Gyu', 'Kyoung Woo', 'YoungWoo', 'Il Sup', 'Su Hyun', 'Young-Ju', 'Jong Min', 'Min']","['KR', 'KR', 'KR', 'KR', 'KR', 'KR', 'KR', 'KR']",Semiconductor device,15,[],[],5,3,8,0,0,0,2022,['KR20200085111A/en'],"[['황순규', '이경우', '조영우', '김일섭', '박수현', '박영주', '백종민', '허민']]"
71941,US10950544,B2,20210316,US16445021,20190618,KR,"['Lee Dong Ik', 'Kim Dai Hong', 'Im Ji Woon', 'Jang Se Mee', 'Nam Bo Ra']","['Dong Ik', 'Dai Hong', 'Ji Woon', 'Se Mee', 'Bo Ra']","['KR', 'KR', 'KR', 'KR', 'KR']",Semiconductor device including gate pattern having pad region,20,[],[],4,1,5,0,0,0,2022,"['KR20200031205A/en', 'CN110896101A/en']","[['이동익', '김대홍', '임지운', '장세미', '남보라'], ['李东益', '金大洪', '任智芸', '张世美', 'B.R.南']]"
71959,US10950561,B2,20210316,US16282631,20190222,KR,"['Jung Hyung Mi', 'Jung Kyoung Ok', 'Jung Guk Hee']","['Hyung Mi', 'Kyoung Ok', 'Guk Hee']","['KR', 'KR', 'KR']",Antenna module,2,[],[],2,1,3,0,0,0,2022,"['KR102066904B1/en', 'CN110911852B/en']","[['정형미', '정경옥', '정국희'], ['郑炯美', '郑暻玉', '郑国熙']]"
71961,US10950563,B2,20210316,US17003036,20200826,CN,['Yang Wang-Lai'],['Wang-Lai'],['CN'],Chip packages and methods for forming the same,9,[],[],1,0,1,0,0,0,2022,['CN109867257A/en'],[['杨望来']]
71977,US10950578,B2,20210316,US16430625,20190604,KR,"['Lee Hak-Seung', 'Moon Kwang-Jin', 'Kim Tae-Seong', 'Lee Dae-Suk', 'Lim Dong-Chan']","['Hak-Seung', 'Kwang-Jin', 'Tae-Seong', 'Dae-Suk', 'Dong-Chan']","['KR', 'KR', 'KR', 'KR', 'KR']","Semiconductor device, semiconductor package and method of manufacturing the same",20,[],[],3,2,5,0,0,0,2022,"['KR20200059516A/en', 'CN111211102A/en']","[['이학승', '문광진', '김태성', '이대석', '임동찬'], ['李学承', '文光辰', '金泰成', '李大硕', '林东灿']]"
