,publication_id,publication_kind,publication_date,application_id,application_date,country,inventor_name,inventor_firstname,inventor_country,invention_title,number_of_claims,attorney_name,attorney_firstname,inventor males,inventor females,inventor team size,attorney males,attorney females,attorney team size,Year,WorldWide Applications,Original Names
2,US10886550,B2,20210105,US16212275,20181206,KR,"['Woo Hee Jin', 'Lee Ki Sub']","['Hee Jin', 'Ki Sub']","['KR', 'KR']",Membrane electrode assembly,9,[],[],2,0,2,0,0,0,2022,"['KR20200027352A/en', 'CN110875485A/en']","[['우희진', '이기섭'], ['禹熙晋', '李起燮']]"
3,US10886551,B2,20210105,US16141473,20180925,CN,"['Li Xiufen', 'Qi Xiguang', 'Wang Xinhua', 'Ren Yueping']","['Xiufen', 'Xiguang', 'Xinhua', 'Yueping']","['CN', 'CN', 'CN', 'CN']",Method for synchronously recovering metal and elemental sulfur,6,['Xu Na'],['Na'],2,2,4,1,0,1,2022,['CN108642091B/en'],"[['李秀芬', '齐希光', '王新华', '任月萍']]"
7,US10886555,B2,20210105,US16013063,20180620,KR,"['Lee Nam Doo', 'Yu Ji Won']","['Nam Doo', 'Ji Won']","['KR', 'KR']",Apparatus for activating membrane electrode assembly for fuel cells,3,[],[],2,0,2,0,0,0,2022,['KR101619269B1/en'],"[['이남두', '유지원']]"
12,US10886560,B2,20210105,US16072571,20161115,KR,"['Kim Ho Sung', 'Kim Min-Young', 'Yang Seung Hoon', 'Kim Da-Hye', 'Kim Kyeong Joon', 'Choi Seung Woo', 'Lim Jinsub', 'Chang Duck Rye']","['Ho Sung', 'Min-Young', 'Seung Hoon', 'Da-Hye', 'Kyeong Joon', 'Seung Woo', 'Jinsub', 'Duck Rye']","['KR', 'KR', 'KR', 'KR', 'KR', 'KR', 'KR', 'KR']",All-solid-state lithium secondary battery containing LLZO solid electrolyte and method for preparing same,14,[],[],5,3,8,0,0,0,2022,['KR101793168B1/en'],"[['김호성', '김민영', '양승훈', '김다혜', '김경준', '최승우', '임진섭', '장덕례']]"
15,US10886563,B2,20210105,US16330795,20180413,KR,"['Kim Seungha', 'Choi Youngcheol', 'Chae Jonghyun', 'Kim Kyoung Hoon', 'Lee Yeonju', 'Kim Daeil', 'Kim Lucia']","['Seungha', 'Youngcheol', 'Jonghyun', 'Kyoung Hoon', 'Yeonju', 'Daeil', 'Lucia']","['KR', 'KR', 'KR', 'KR', 'KR', 'KR', 'KR']",Polymer solid electrolyte and lithium secondary battery comprising same,8,[],[],1,6,7,0,0,0,2022,"['KR102160709B1/en', 'CN109863634B/en']","[['김승하', '최영철', '채종현', '김경훈', '이연주', '김대일', '김루시아'], ['金昇昰', '崔溁哲', '蔡宗铉', '金敬勋', '李娟珠', '金大日', '露西娅·金']]"
16,US10886564,B2,20210105,US15631968,20170623,KR,"['Koh Myongchun', 'Park Hosang', 'Seo Jinah', 'Kang Yoonsok']","['Myongchun', 'Hosang', 'Jinah', 'Yoonsok']","['KR', 'KR', 'KR', 'KR']",Electrolyte for lithium secondary battery and lithium secondary battery including the electrolyte,18,[],[],1,3,4,0,0,0,2022,['CN107799817B/en'],"[['高明天', '朴灏相', '徐真娥', '姜润锡']]"
17,US10886565,B2,20210105,US16026990,20180703,CN,"['Wang Xiaomei', 'Fu Chenghua', 'Han Changlong']","['Xiaomei', 'Chenghua', 'Changlong']","['CN', 'CN', 'CN']",Electrolyte and electrochemical energy storage device,6,[],[],0,3,3,0,0,0,2022,['CN109309246A/en'],"[['王小梅', '付成华', '韩昌隆']]"
19,US10886568,B2,20210105,US16385923,20190416,KR,"['Lee Harim', 'Park Hyejin', 'Woo Myungheui', 'Lim Jin-Hyeok', 'Choi Hyunbong']","['Harim', 'Hyejin', 'Myungheui', 'Jin-Hyeok', 'Hyunbong']","['KR', 'KR', 'KR', 'KR', 'KR']",Electrolyte for rechargeable lithium battery and rechargeable lithium battery,17,[],[],2,3,5,0,0,0,2022,"['KR102152306B1/en', 'CN110391462B/en']","[['이하림', '박혜진', '우명희', '임진혁', '최현봉'], ['李河林', '朴寭真', '禹明希', '林珍赫', '崔兹奉']]"
21,US10886570,B2,20210105,US15994190,20180531,US,"['Jin Xin', 'Tao Tao', 'Xi Jie']","['Xin', 'Tao', 'Jie']","['CN', 'CN', 'CN']",Secondary battery,21,[],[],2,1,3,0,0,0,2022,['CN108886126B/en'],"[['金鑫', '陶涛', '席杰']]"
27,USD0906723,S1,20210105,US29734331,20200511,US,['Chen Chongliang'],['Chongliang'],['CN'],Automatic soap dispenser,1,['Lampel Justin'],['Justin'],0,1,1,1,0,1,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
38,US10886584,B2,20210105,US15533350,20151207,CN,['Jin Jifan'],['Jifan'],['CN'],Air metal fuel cell,56,[],[],1,0,1,0,0,0,2022,['CN107210503B/en'],[['金季藩']]
49,US10886594,B2,20210105,US16286310,20190226,US,"['Chen Yenheng', 'Lin Chengchung', 'Wu Chengtar', 'Lin Jangshen']","['Yenheng', 'Chengchung', 'Chengtar', 'Jangshen']","['CN', 'CN', 'CN', 'CN']",Packaging structure and packaging method for antenna,20,[],[],0,4,4,0,0,0,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
52,US10886597,B2,20210105,US15798823,20171031,CN,"['Hu Shasha', 'Zhao Ning', 'Xiang Shengzhao']","['Shasha', 'Ning', 'Shengzhao']","['CN', 'CN', 'CN']","Housing, antenna device and mobile terminal",19,[],[],1,2,3,0,0,0,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
53,US10886598,B2,20210105,US15720815,20170929,KR,"['Kim Hee Seung', 'Chang Ki Won', 'Won Jae Sun', 'Lee Chang Hee', 'Yoon Hyo Jung']","['Hee Seung', 'Ki Won', 'Jae Sun', 'Chang Hee', 'Hyo Jung']","['KR', 'KR', 'KR', 'KR', 'KR']",Antenna module and electronic device having the same,17,[],[],5,0,5,0,0,0,2022,['CN108075228B/en'],"[['金熙胜', '张基源', '元载善', '李昌熙', '尹孝政']]"
55,US10886600,B2,20210105,US16004665,20180611,KR,"['Cho Bum Jin', 'Chun Jae Bong']","['Bum Jin', 'Jae Bong']","['KR', 'KR']",Antenna and electronic device including the same,8,[],[],2,0,2,0,0,0,2022,"['KR102245948B1/en', 'CN109037899B/en']","[['조범진', '천재봉'], ['赵范袗', '千载奉']]"
58,US10886602,B2,20210105,US16657811,20191018,KR,"['Han Kiwon', 'Kim Youngtae', 'Lee Gwanghoon']","['Kiwon', 'Youngtae', 'Gwanghoon']","['KR', 'KR', 'KR']",Mobile terminal and coil antenna module,17,[],[],1,2,3,0,0,0,2022,"['KR101594380B1/en', 'KR101584555B1/en', 'CN105939162B/en', 'CN112054817A/en']","[['한기원', '김영태', '이광훈'], ['한기원', '김영태', '이광훈'], ['韩基元', '金英泰', '李广勋'], ['韩基元', '金英泰', '李广勋']]"
66,US10886610,B2,20210105,US16274270,20190213,US,"['Lee Dong-Hun', 'Woo Ki-Hoon', 'Kim Sung-Hak', 'Jeon Yong-Hyo']","['Dong-Hun', 'Ki-Hoon', 'Sung-Hak', 'Yong-Hyo']","['KR', 'KR', 'KR', 'KR']",Portable antenna control device and antenna control system,11,[],[],3,1,4,0,0,0,2022,['CN107210525B/en'],"[['李东勋', '禹玘勋', '金省学', '田容孝']]"
