,publication_id,publication_kind,publication_date,application_id,application_date,country,inventor_name,inventor_firstname,inventor_country,invention_title,number_of_claims,attorney_name,attorney_firstname,inventor males,inventor females,inventor team size,attorney males,attorney females,attorney team size,Year,WorldWide Applications,Original Names
76,US10886618,B2,20210105,US16260505,20190129,KR,"['Kim Nam Ki', 'Park Ju Hyoung', 'Ryoo Jeong Ki', 'Han Myeong Woo', 'Lim Dae Ki']","['Nam Ki', 'Ju Hyoung', 'Jeong Ki', 'Myeong Woo', 'Dae Ki']","['KR', 'KR', 'KR', 'KR', 'KR']",Antenna apparatus and antenna module,14,[],[],4,1,5,0,0,0,2022,"['CN110323560B/en', 'CN114597643A/en']","[['金楠基', '朴柱亨', '柳正基', '韩明愚', '林大气'], ['金楠基', '朴柱亨', '柳正基', '韩明愚', '林大气']]"
81,US10886623,B2,20210105,US16444311,20190618,KR,"['Son Junghwan', 'Kim Jiyong', 'Na Hyoseok', 'An Yongjun']","['Junghwan', 'Jiyong', 'Hyoseok', 'Yongjun']","['KR', 'KR', 'KR', 'KR']","Electronic device including a plurality of switches selectively connecting antenna having a plurality of feeding terminals with communication circuit, and driving method thereof",22,[],[],1,3,4,0,0,0,2022,"['KR20190142827A/en', 'CN110620603A/en']","[['손정환', '김지용', '나효석', '안용준'], ['孙贞焕', '金志容', '罗孝锡', '安镕骏']]"
92,US10886634,B2,20210105,US16093346,20161111,WO,"['Zhao Wei', 'Gao Zhuofeng', 'Yao Xiangxi', 'Wang Wenlan', 'Liu Mulin', 'Doudou Samb', 'Chu Qingchen', 'Wang Bin']","['Wei', 'Zhuofeng', 'Xiangxi', 'Wenlan', 'Mulin', 'Samb', 'Qingchen', 'Bin']","['CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN']",Filter feeding network and base station antenna,13,[],[],3,5,8,0,0,0,2022,"['CN209183755U/en', 'CN209183756U/en', 'CN106602280A/en']","[['赵伟', '高卓锋', '姚想喜', '王文兰', '刘木林', '杜杜.萨姆布', '褚庆臣', '王斌'], ['赵伟', '高卓锋', '姚想喜', '王文兰', '刘木林', '杜杜.萨姆布', '褚庆臣', '王斌'], ['赵伟', '高卓锋', '姚想喜', '王文兰', '刘木林', '杜杜.萨姆布', '褚庆臣', '王斌']]"
98,US10886640,B2,20210105,US16285326,20190226,CN,"['Zhang Wei', 'Shi Ming', 'Fu Xiaozhi', 'Fan Dingbing', 'Jiang Hongtao']","['Wei', 'Ming', 'Xiaozhi', 'Dingbing', 'Hongtao']","['CN', 'CN', 'CN', 'CN', 'CN']",Conductive terminal and electrical connector,22,[],[],4,1,5,0,0,0,2022,['CN110197980A/en'],"[['张巍', '师明', '付小智', '范定兵', '江洪涛']]"
101,US10886643,B2,20210105,US16214611,20181210,KR,['Oh Myongsoo'],['Myongsoo'],['KR'],Display device,26,[],[],0,1,1,0,0,0,2022,"['KR20190096463A/en', 'CN110133924A/en']","[['오명수'], ['吴明洙']]"
105,US10886647,B2,20210105,US16201367,20181127,US,"['Wang Wei', 'Zhang WeiFeng', 'Hou YanLong', 'Wu Ben', 'Zhang Miao']","['Wei', 'WeiFeng', 'YanLong', 'Ben', 'Miao']","['CN', 'CN', 'CN', 'CN', 'CN']",Electronic circuitry socket structure,17,['McNeilly Grant M.'],['Grant M.'],4,1,5,1,0,1,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
107,US10886649,B1,20210105,US16746987,20200120,CN,"['Yang Wenchu', 'Tang Hui', 'Ke Yinghao', 'Liu Zhenxing', 'Li Hang']","['Wenchu', 'Hui', 'Yinghao', 'Zhenxing', 'Hang']","['CN', 'CN', 'CN', 'CN', 'CN']",Cable connector and connector assembly,20,[],[],0,5,5,0,0,0,2022,['CN110729594A/en'],"[['杨文初', '唐辉', '柯英豪', '刘振兴', '李杭']]"
110,US10886652,B2,20210105,US16086002,20180323,CN,['Zhu Dejun'],['Dejun'],['CN'],"FPC connector, touch-sensitive screen and LCD screen",20,"['Chung Wei Te', 'Chang Ming Chieh']","['Wei Te', 'Ming Chieh']",1,0,1,2,0,2,2022,['CN206442588U/en'],[['朱德军']]
112,US10886654,B2,20210105,US16426466,20190530,CN,"['Pan Lei', 'Rajendra Pai', 'Ding Tongbao']","['Lei', 'Pai', 'Tongbao']","['CN', 'IN', 'CN']",Connector and connector housing,20,[],[],1,2,3,0,0,0,2022,"['CN208904272U/en', 'KR20190137696A/en']","[['潘磊', '派·R·拉津德拉', '丁通豹'], ['레이 판', '파이 라젠드라', '통바오 딩']]"
116,US10886658,B2,20210105,US16493313,20170425,CN,['Xu Xinhua'],['Xinhua'],['CN'],Mobile socket device that can be quickly fixed and disassembled,20,[],[],1,0,1,0,0,0,2022,['CN206619764U/en'],[['徐新华']]
119,US10886661,B2,20210105,US16351680,20190313,CN,"['Liu WenYu', 'Han Hongqiang', 'Li Lizhou', 'Jin Jiwang', 'Ge Xingjie']","['WenYu', 'Hongqiang', 'Lizhou', 'Jiwang', 'Xingjie']","['CN', 'CN', 'CN', 'CN', 'CN']",Connector and radiator,20,[],[],1,4,5,0,0,0,2022,['CN207588071U/en'],"[['刘文宇', '韩洪强', '李立周', '金继旺', '戈兴杰']]"
120,US10886662,B2,20210105,US16596737,20191008,CN,"['Zheng Chang-Long', 'Peng Fu-Jin']","['Chang-Long', 'Fu-Jin']","['CN', 'CN']",Electrical card connector,19,"['Chung Wei Te', 'Chang Ming Chieh']","['Wei Te', 'Ming Chieh']",2,0,2,2,0,2,2022,['CN209133712U/en'],"[['郑常龙', '彭付金']]"
124,US10886666,B2,20210105,US16292848,20190305,CN,"['Peng Wei', 'Xu Fengping']","['Wei', 'Fengping']","['CN', 'CN']",Low resonance electrical connector,41,[],[],1,1,2,0,0,0,2022,['CN110247233B/en'],"[['彭伟', '徐锋平']]"
130,US10886672,B2,20210105,US16686932,20191118,KR,"['Lee Won-Wook', 'Choi Weon-Jai']","['Won-Wook', 'Weon-Jai']","['KR', 'KR']",Connector for connecting antenna and electronic device having the same,20,[],[],1,1,2,0,0,0,2022,"['KR102430757B1/en', 'CN109587294B/en']","[['이원욱', '최원재'], ['李原旭', '崔源财']]"
165,US10886706,B2,20210105,US16609193,20170713,CN,['Zhou Xiangjin'],['Xiangjin'],['CN'],"Flame-ejecting spark plug, and internal combustion engine and automobile having same",17,['Liu Helen S'],['Helen S'],0,1,1,0,1,1,2022,"['CN107332109A/en', 'CN110959235B/en']","[['周向进'], ['周向进']]"
170,US10886711,B2,20210105,US16423421,20190528,CN,"['Lan Lin', 'Zhang Weiqiang']","['Lin', 'Weiqiang']","['CN', 'CN']",Power supply system,17,['Ren Yunling'],['Yunling'],2,0,2,0,1,1,2022,['CN110875580B/en'],"[['蓝琳', '张伟强']]"
182,US10886721,B2,20210105,US16626850,20180328,CN,"['Li Jie', 'Zhang Youwei', 'Huang Zhimin', 'Fan Zhaodi', 'Le Hongsheng']","['Jie', 'Youwei', 'Zhimin', 'Zhaodi', 'Hongsheng']","['CN', 'CN', 'CN', 'CN', 'CN']",Wiring cover assembly and compressor,9,['Ren Yunling'],['Yunling'],3,2,5,0,1,1,2022,['CN207517913U/en'],"[['李洁', '张优伟', '黄之敏', '樊兆迪', '乐红胜']]"
185,US10886724,B2,20210105,US16412795,20190515,CN,"['Li Chengli', 'Li Yongsen', 'Nie Shengyun']","['Chengli', 'Yongsen', 'Shengyun']","['CN', 'CN', 'CN']",Leakage current detection and interruption device for power cord,11,[],[],1,2,3,0,0,0,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
186,US10886725,B2,20210105,US15869644,20180112,CN,"['Jiao Dezhi', 'Wang Baohua']","['Dezhi', 'Baohua']","['CN', 'CN']","Switching power supply, over-temperature control and protection method, and power control method",14,['Ren Yunling'],['Yunling'],0,2,2,0,1,1,2022,['CN108572689B/en'],"[['焦德智', '王葆华']]"
203,US10886740,B2,20210105,US16409564,20190510,CN,"['Yin Jijun', 'Chen Qing', 'Chen Gang', 'Lu Xiao', 'Luo Jianyu', 'Li Haifeng', 'Li Xueming', 'Luo Kaiming', 'Liu Lin', 'Yan Yunsong', 'Jiang Yefeng', 'Ren Jianfeng', 'Xia Haifeng']","['Jijun', 'Qing', 'Gang', 'Xiao', 'Jianyu', 'Haifeng', 'Xueming', 'Kaiming', 'Lin', 'Yunsong', 'Yefeng', 'Jianfeng', 'Haifeng']","['CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN']",Emergency accurate control method and system for large-scale interruptible loads,10,[],[],9,4,13,0,0,0,2022,['CN109687471A/en'],"[['尹积军', '陈庆', '陈刚', '陆晓', '罗建裕', '李海峰', '李雪明', '罗凯明', '刘林', '颜云松', '江叶峰', '任建锋', '夏海峰']]"
211,USD0906727,S1,20210105,US29706078,20190918,US,['Yang Weidong'],['Weidong'],['CN'],Carpet,1,[],[],1,0,1,0,0,0,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
219,US10886752,B2,20210105,US14624524,20150217,CN,"['Zhao Jingjing', 'Su Qinghua', 'Wang Hu']","['Jingjing', 'Qinghua', 'Hu']","['CN', 'CN', 'CN']",Adjustable cable voltage compensation for battery chargers,20,[],[],3,0,3,0,0,0,2022,['CN103780096A/en'],"[['赵晶晶', '宿清华', '汪虎']]"
223,US10886756,B2,20210105,US15745989,20170418,CN,"['Diao Zhiming', 'Tong Hongjie']","['Zhiming', 'Hongjie']","['CN', 'CN']","Charging system, charging method, and mobile terminal based on dual batteries",12,[],[],2,0,2,0,0,0,2022,['CN106385067A/en'],"[['刁志明', '童洪洁']]"
224,US10886757,B2,20210105,US16243373,20190109,CN,"['Zuo Xiyang', 'Dan Zhimin', 'Zhang Wei', 'Hou Yizhen', 'Yu Teng', 'Lu Wenbin', 'Wu Xingyuan', 'Zhu Taosheng']","['Xiyang', 'Zhimin', 'Wei', 'Yizhen', 'Teng', 'Wenbin', 'Xingyuan', 'Taosheng']","['CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN']","Battery pack system, control method thereof and management device",17,[],[],5,3,8,0,0,0,2022,['CN108878996B/en'],"[['左希阳', '但志敏', '张伟', '侯贻真', '余腾', '路文斌', '吴兴远', '朱涛声']]"
226,US10886759,B2,20210105,US16054051,20180803,US,"['Zheng Dayang', 'Wang Wentao', 'Wang Lei', 'Luo Hao', 'Tian Jie', 'Chen Chaobin']","['Dayang', 'Wentao', 'Lei', 'Hao', 'Jie', 'Chaobin']","['CN', 'CN', 'CN', 'CN', 'CN', 'CN']",Multi-battery system and management thereof,19,[],[],4,2,6,0,0,0,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
227,US10886760,B2,20210105,US15746243,20170911,KR,"['Kim Jin Wook', 'Kim Jae Hyung']","['Jin Wook', 'Jae Hyung']","['KR', 'KR']",Wireless charging device,14,[],[],2,0,2,0,0,0,2022,"['KR20180074372A/en', 'CN108668522A/en']","[['김진욱', '김재형'], ['金进旭', '金载衡']]"
231,US10886763,B1,20210105,US16800165,20200225,KR,['Ha Sangdoo'],['Sangdoo'],['KR'],Charging device,20,[],[],0,1,1,0,0,0,2022,"['KR20210073032A/en', 'CN115053426A/en']","[['하상두'], ['河相斗']]"
234,US10886766,B2,20210105,US15965845,20180428,CN,"['Luo Fuping', 'Wang Shengwei', 'Du Xinxin', 'Fu Xin']","['Fuping', 'Shengwei', 'Xinxin', 'Xin']","['CN', 'CN', 'CN', 'CN']",Method and device for multi-stage battery charging,6,[],[],3,1,4,0,0,0,2022,['CN107204493B/en'],"[['骆福平', '王升威', '杜鑫鑫', '付欣']]"
235,US10886767,B2,20210105,US16034528,20180713,KR,"['Kim Jinho', 'Song Tae Won', 'Lim Ju Wan', 'Sung Young Hun', 'Choi Hongsoo']","['Jinho', 'Tae Won', 'Ju Wan', 'Young Hun', 'Hongsoo']","['KR', 'KR', 'KR', 'KR', 'KR']",Method and apparatus controlling charging of battery based on diffusion characteristics of material included in the battery,17,[],[],4,1,5,0,0,0,2022,['KR20190097626A/en'],"[['김진호', '송태원', '임주완', '성영훈', '최홍수']]"
241,USD0906728,S1,20210105,US29737535,20200610,US,['Hu Shuwen'],['Shuwen'],['CN'],Anti-fatigue mat,1,[],[],0,1,1,0,0,0,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
242,US10886772,B2,20210105,US15543222,20160726,US,"['Zhang Jialiang', 'Chen Shebiao', 'Zhang Jun', 'Tian Chen', 'Wan Shiming', 'Li Jiada']","['Jialiang', 'Shebiao', 'Jun', 'Chen', 'Shiming', 'Jiada']","['CN', 'CN', 'CN', 'CN', 'CN', 'CN']","Charging system and charging method for terminal, and power adapter",18,[],[],3,3,6,0,0,0,2022,"['KR101906977B1/en', 'CN111211609B/en', 'CN106537724B/en', 'CN108233509B/en', 'CN205883073U/en', 'CN106160094B/en', 'CN205882812U/en', 'CN106253422B/en', 'CN107769341B/en', 'CN107592022B/en', 'CN106253428B/en', 'CN205960979U/en', 'CN106100083B/en', 'CN107887962B/en', 'CN107994662B/en', 'CN107534304B/en', 'CN107895989A/en', 'CN107681753B/en', 'CN106059025B/en', 'CN108011431B/en', 'CN107846053B/en', 'CN107710550B/en', 'CN107592020B/en', 'KR102192440B1/en', 'CN107466433B/en', 'CN205883074U/en', 'KR102157320B1/en', 'CN205882815U/en', 'CN107592024B/en', 'CN108306399B/en', 'CN106253423B/en', 'CN205882811U/en', 'CN205882806U/en', 'CN114583783A/en', 'CN107660321B/en', 'CN205882805U/en', 'CN107534311B/en', 'CN205883072U/en', 'CN107925264B/en', 'CN205882813U/en', 'CN107592021B/en', 'KR102275888B1/en', 'CN205882814U/en', 'KR102204604B1/en', 'KR102191988B1/en', 'CN205882810U/en', 'CN205882816U/en', 'CN107852017B/en', 'CN107592025B/en', 'CN107769304B/en', 'CN106230082A/en', 'CN107733053B/en', 'CN106026327B/en', 'KR102183636B1/en', 'CN107592023B/en', 'KR102191538B1/en', 'KR102183492B1/en', 'CN107534305B/en', 'CN107615614B/en', 'KR102157339B1/en', 'CN107912074B/en', 'CN109121448B/en', 'CN108093663B/en', 'CN109121451A/en', 'CN108093661B/en', 'CN107710552B/en', 'CN109155529B/en', 'CN109155528B/en', 'CN108141057B/en', 'CN109075598B/en', 'CN107750425B/en', 'CN108521838A/en', 'CN109874362A/en', 'CN107980192B/en', 'CN109121445B/en', 'CN107980193B/en', 'CN107852018B/en', 'CN107836067B/en', 'CN107912076B/en', 'CN108271428A/en', 'CN107852014B/en', 'CN109463020B/en', 'CN107949969A/en', 'CN108307667B/en']","[['지아 리앙 장'], ['张加亮'], ['张加亮'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '田晨', '张俊', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '田晨', '张俊', '陈社彪', '李家达', '万世铭'], ['지아량 장', '준 장', '첸 티안', '쉬비아오 첸', '지아다 리', '쉬밍 완'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['지아량 장', '준 장', '첸 티안', '쉬비아오 첸', '지아다 리', '쉬밍 완'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '田晨', '张俊', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '田晨', '张俊', '陈社彪', '李家达', '万世铭'], ['지아리앙 장', '준 장', '첸 티안', '쉐비아오 첸', '지아다 리', '시밍 완'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['지아리앙 장', '준 장', '첸 티안', '쉐비아오 첸', '지아다 리', '시밍 완'], ['지아량 장', '준 장', '첸 티안', '쉬비아오 첸', '지아다 리', '스밍 완'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '田晨', '张俊', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['지아리앙 장', '준 장', '첸 티안', '쉐비아오 첸', '지아다 리', '시밍 완'], ['张加亮', '田晨', '张俊', '陈社彪', '李家达', '万世铭'], ['지아량 쟝', '쥔 쟝', '쳔 티엔', '셔뱌오 쳔', '지아다 리', '스밍 완'], ['지아리앙 장', '준 장', '첸 티안', '쉐비아오 첸', '지아다 리', '시밍 완'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['张加亮', '张俊', '田晨', '陈社彪', '李家达', '万世铭'], ['지아량 장', '준 장', '첸 티안', '쉬비아오 첸', '지아다 리', '스밍 완'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['陈社彪', '张加亮'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['田晨', '张加亮'], ['张加亮', '万世铭', '张俊', '田晨', '陈社彪', '李家达'], ['张加亮', '万世铭', '张俊', '田晨', '陈社彪', '李家达']]"
251,US10886780,B2,20210105,US15358436,20161122,KR,"['Jung Chun-Kil', 'Kuk Yoon-Sang']","['Chun-Kil', 'Yoon-Sang']","['KR', 'KR']",Non-contact power transmission apparatus,8,[],[],2,0,2,0,0,0,2022,"['CN101919139B/en', 'CN103208830B/en', 'CN103227513B/en', 'CN103296784B/en']","[['郑春吉', '鞠润相'], ['郑春吉', '鞠润相'], ['郑春吉', '鞠润相'], ['郑春吉', '鞠润相']]"
254,US10886783,B2,20210105,US16159818,20181015,KR,"['Kim Se Joo', 'Ko Tae Seok', 'Choi Young Woon', 'Son Joung Ho', 'Song Doo Young']","['Se Joo', 'Tae Seok', 'Young Woon', 'Joung Ho', 'Doo Young']","['KR', 'KR', 'KR', 'KR', 'KR']",Wireless power transmission apparatus,18,[],[],4,1,5,0,0,0,2022,['CN110048517A/en'],"[['金世柱', '高泰锡', '崔荣云', '孙廷虎', '宋斗咏']]"
