publication_id,country,english_names,english_first_names,inventor_country,worldwide_application,original_names,year,english_gender,chinese_gender,chinese_gender_prob
US09532512,CN,Xie Yunlong,Yunlong,CN,CN104823754A/en,谢云龙,2017,unknown,M,0.9455861570658446
US09532598,US,Liu Qiuming,Qiuming,CN,CN205214206U/en,刘秋明,2017,unknown,M,0.500785312200026
US09532599,CN,Liu Qiuming,Qiuming,CN,CN203327956U/en,刘秋明,2017,unknown,M,0.500785312200026
US09532602,CN,Liu Qiuming,Qiuming,CN,CN203378559U/en,刘秋明,2017,unknown,M,0.500785312200026
US09532631,WO,Gu Jiawei,Jiawei,CN,CN105378583B/en,顾嘉唯,2017,unknown,M,0.49641438428273904
US09532652,CN,Choi Kwan Jun,Kwan Jun,CN,CN203969795U/en,崔宽峻,2017,unknown,M,0.9996198183282067
US09532711,CN,Li Mi,Mi,CN,CN104146721B/en,栗觅,2017,andy,F,0.821917808219178
US09532711,CN,Lv Shengfu,Shengfu,CN,CN104146721B/en,吕胜富,2017,unknown,M,0.9931708452282096
US09532711,CN,Wang Gang,Gang,CN,CN104146721B/en,王刚,2017,andy,M,0.9990502035278155
US09532711,CN,Zhong Ning,Ning,CN,CN104146721B/en,钟宁,2017,andy,M,0.5745945945945946
US09532967,CN,Liu Junyi,Junyi,CN,CN102198125B/en,刘俊义,2017,unknown,M,0.9795004307048495
US09532967,CN,Peng Jirun,Jirun,CN,CN102198125B/en,彭吉润,2017,unknown,M,0.9281818212951435
US09532967,CN,Ma Zhizhong,Zhizhong,CN,CN102198125B/en,马治中,2017,unknown,M,0.9949888476330446
US09532991,CN,Sun Kaoxiang,Kaoxiang,CN,CN103338752B/en,孙考祥,2017,unknown,M,0.9640549091048953
US09532991,CN,Liang Rongcai,Rongcai,CN,CN103338752B/en,梁荣才,2017,unknown,M,0.9842578889666923
US09532991,CN,Wang Qilin,Qilin,CN,CN103338752B/en,王麒麟,2017,unknown,M,0.9841868591711965
US09532991,CN,Wang Wenyan,Wenyan,CN,CN103338752B/en,王文艳,2017,unknown,F,0.8922401952869689
US09532991,CN,Liu Wanhui,Wanhui,CN,CN103338752B/en,刘万卉,2017,unknown,F,0.9669783150571001
US09532991,CN,Li Youxin,Youxin,CN,CN103338752B/en,李又欣,2017,unknown,F,0.7643847302065021
US09533020,CN,Xu Rongxiang,Rongxiang,CN,CN103961445B/en,徐荣祥,2017,unknown,M,0.9717154987009824
US09533035,CN,Zhang Jun,Jun,CN,CN101343314B/en,张军,2017,mostly_male,M,0.9476945244956773
US09533035,CN,Wang Jin,Jin,CN,CN101343314B/en,王晋,2017,female,M,0.8518057285180572
US09533035,CN,Yang Chunyan,Chunyan,CN,CN101343314B/en,杨春燕,2017,unknown,F,0.936085601902818
US09533035,CN,Gu Ying,Ying,CN,CN101343314B/en,顾颖,2017,andy,F,0.9282084690553747
US09533035,CN,Li Shaowei,Shaowei,CN,CN101343314B/en,李少伟,2017,unknown,M,0.9058931718780702
US09533035,CN,Xia Ningshao,Ningshao,CN,CN101343314B/en,夏宁邵,2017,unknown,M,0.8421034506688072
US09533179,CN,Long Min,Min,CN,CN102343129B/en,龙敏,2017,andy,F,0.6382878398910253
US09533179,CN,Hou Guancheng,Guancheng,CN,CN102343129B/en,侯冠成,2017,unknown,M,0.9810224421470649
US09533259,US,Gao Xiang,Xiang,CN,CN104169004B/en,高翔,2017,andy,M,0.9751581368602645
US09533259,US,Luo Zhongyang,Zhongyang,CN,CN104169004B/en,骆仲泱,2017,unknown,M,0.951039885917674
US09533259,US,Cen Kefa,Kefa,CN,CN104169004B/en,岑可法,2017,unknown,M,0.987498233586023
US09533259,US,Ni MingJiang,MingJiang,CN,CN104169004B/en,倪明江,2017,andy,M,0.9686355619152887
US09533259,US,Song Hao,Hao,CN,CN104169004B/en,宋浩,2017,andy,M,0.9801273180182674
US09533259,US,Wu Weihong,Weihong,CN,CN104169004B/en,吴卫红,2017,unknown,M,0.5318772601147126
US09533259,US,Yu Hongmin,Hongmin,CN,CN104169004B/en,余鸿敏,2017,unknown,M,0.5887934158183624
US09533259,US,Shi Zhenglun,Zhenglun,CN,CN104169004B/en,施正伦,2017,unknown,M,0.9887702600158144
US09533259,US,Zhou Jinsong,Jinsong,CN,CN104169004B/en,周劲松,2017,unknown,M,0.9971440506598536
US09533259,US,Fang Mengxiang,Mengxiang,CN,CN104169004B/en,方梦祥,2017,unknown,M,0.6000870611115917
US09533259,US,Yu Chunjiang,Chunjiang,CN,CN104169004B/en,余春江,2017,unknown,M,0.8618387907504105
