publication_id,country,english_names,english_first_names,inventor_country,worldwide_application,original_names,year
US09533287,KR,Kim Chanyeon,Chanyeon,KR,KR102221550B1/en,김찬연,2017
US09533292,KR,Park Ji Chan,Ji Chan,KR,KR101339902B1/en,박지찬,2017
US09533292,KR,Jung Heon,Heon,KR,KR101339902B1/en,정헌,2017
US09533292,KR,Lee Ho Tae,Ho Tae,KR,KR101339902B1/en,이호태,2017
US09533292,KR,Yang Jung Il,Jung Il,KR,KR101339902B1/en,양정일,2017
US09533292,KR,Chun Dong Hyun,Dong Hyun,KR,KR101339902B1/en,천동현,2017
US09533292,KR,Hong Sung Jun,Sung Jun,KR,KR101339902B1/en,홍성준,2017
US09533354,KR,Lee Gae Hang,Gae Hang,KR,KR101523065B1/en,이계행,2017
US09533354,KR,Bae Doo Ri,Doo Ri,KR,KR101523065B1/en,배두리,2017
US09533354,KR,Choi Yeon Suk,Yeon Suk,KR,KR101523065B1/en,최연석,2017
US09533403,KR,Lee Jaehyun,Jaehyun,KR,KR101509695B1/en,이재현,2017
US09533403,KR,Ryu Sung Phil,Sung Phil,KR,KR101509695B1/en,유성필,2017
US09533541,KR,Kim Tae Ju,Tae Ju,KR,KR102032450B1/en,김태주,2017
US09533566,KR,Choi Seung Ho,Seung Ho,KR,KR101673677B1/en,최승호,2017
US09533573,KR,Chae Hee Seo,Hee Seo,KR,KR102138328B1/en,채희서,2017
US09533573,KR,Park Sung Eun,Sung Eun,KR,KR102138328B1/en,박성은,2017
US09533581,KR,Huh Jee Wook,Jee Wook,KR,KR101664580B1/en,허지욱,2017
US09533581,KR,Kim Sang Joon,Sang Joon,KR,KR101664580B1/en,김상준,2017
US09533581,KR,Du Gwang Il,Gwang Il,KR,KR101664580B1/en,두광일,2017
US09533581,KR,Cho Teh Hwan,Teh Hwan,KR,KR101664580B1/en,조태환,2017
US09533581,KR,Choi Woo Suk,Woo Suk,KR,KR101664580B1/en,최우석,2017
US09533581,KR,Oh Kyoung Cheol,Kyoung Cheol,KR,KR101664580B1/en,오경철,2017
US09533593,KR,Im Chang Jun,Chang Jun,KR,KR20150006996A/en,임창준,2017
US09533593,KR,Choi Seung Woo,Seung Woo,KR,KR20150006996A/en,최승우,2017
US09533624,KR,Cha Dong Eun,Dong Eun,KR,KR101558800B1/en,차동은,2017
US09533624,KR,Kim Hyun Gyung,Hyun Gyung,KR,KR101558800B1/en,김현경,2017
US09533624,KR,Jeong Phil Jung,Phil Jung,KR,KR101558800B1/en,정필중,2017
US09533624,KR,Lee Bock Cheol,Bock Cheol,KR,KR101558800B1/en,이복철,2017
US09533624,KR,Oh Young Sub,Young Sub,KR,KR101558800B1/en,오영섭,2017
US09533624,KR,Lee Seung Mok,Seung Mok,KR,KR101558800B1/en,이승목,2017
US09533624,KR,Hyun Soo Hyun,Soo Hyun,KR,KR101558800B1/en,현수현,2017
US09533658,KR,An Jae Hyuck,Jae Hyuck,KR,KR101503661B1/en,안재혁,2017
US09533658,KR,Lee Woo Sung,Woo Sung,KR,KR101503661B1/en,이우성,2017
US09533675,KR,Jang In Gyu,In Gyu,KR,KR101583996B1/en,장인규,2017
US09533792,KR,Park Eun-Jin,Eun-Jin,KR,KR200470346Y1/en,박은진,2017
US09533875,KR,Han Yong Hee,Yong Hee,KR,KR101307436B1/en,한용희,2017
US09533875,KR,Kim Hyung Won,Hyung Won,KR,KR101307436B1/en,김형원,2017
US09533875,KR,Ahn Mi Sook,Mi Sook,KR,KR101307436B1/en,안미숙,2017
US09533896,KR,Lee Seong Min,Seong Min,KR,KR102368679B1/en,이성민,2017
US09533896,KR,Son Young Hwan,Young Hwan,KR,KR102368679B1/en,고익환,2017
US09533896,KR,Yi Jae Seon,Jae Seon,KR,KR102368679B1/en,김종락,2017
US09533896,KR,Kim Jong Rack,Jong Rack,KR,KR102368679B1/en,이재선,2017
US09533977,KR,Park Jang Hyun,Jang Hyun,KR,KR101599009B1/en,박장현,2017
US09533977,KR,Song Seung Hyun,Seung Hyun,KR,KR101599009B1/en,송승현,2017
US09533977,KR,Chung Han Kook,Han Kook,KR,KR101599009B1/en,정한국,2017
US09533977,KR,Kim Heung Jae,Heung Jae,KR,KR101599009B1/en,김흥재,2017
US09533977,KR,Lee Ji Hye,Ji Hye,KR,KR101599009B1/en,이지혜,2017
US09533977,KR,Jang Byung Jun,Byung Jun,KR,KR101599009B1/en,장병준,2017
US09533977,KR,Kim Eun Jung,Eun Jung,KR,KR101599009B1/en,김은정,2017
US09533977,KR,Jung Hae Hum,Hae Hum,KR,KR101599009B1/en,정해흠,2017
US09533977,KR,Ryu Chae Lim,Chae Lim,KR,KR101599009B1/en,류채림,2017
US09533977,KR,Hwang Jae-Sung,Jae-Sung,KR,KR101599009B1/en,황재성,2017
US09533977,KR,Lee Hyung Ki,Hyung Ki,KR,KR101599009B1/en,이형기,2017
US09533977,KR,Kang Kyung Koo,Kyung Koo,KR,KR101599009B1/en,강경구,2017
US09533977,KR,Kim Soon-Hoe,Soon-Hoe,KR,KR101599009B1/en,김순회,2017
US09534040,KR,Lee Suk-Chan,Suk-Chan,KR,KR100890463B1/en,이석찬,2017
US09534040,KR,Kim Yong-Sung,Yong-Sung,KR,KR100890463B1/en,김용성,2017
US09534040,KR,Kwon Myung-Hee,Myung-Hee,KR,KR100890463B1/en,권명희,2017
US09534040,KR,Kim Tai-Hyun,Tai-Hyun,KR,KR100890463B1/en,김태현,2017
US09534040,KR,Kim Jeong-Sun,Jeong-Sun,KR,KR100890463B1/en,김정선,2017
US09534040,KR,Lee Gun-Sup,Gun-Sup,KR,KR100890463B1/en,이건섭,2017
US09534040,KR,Shim Hye-Kyung,Hye-Kyung,KR,KR100890463B1/en,심혜경,2017
US09534040,KR,Park Eul-Yong,Eul-Yong,KR,KR100890463B1/en,박을용,2017
US09534040,KR,Chung Yu-Chul,Yu-Chul,KR,KR100890463B1/en,정유철,2017
US09534040,KR,Kim Ki-Yoon,Ki-Yoon,KR,KR100890463B1/en,김기윤,2017
US09534040,KR,Jung Yi-Jung,Yi-Jung,KR,KR100890463B1/en,정의정,2017
US09534040,KR,Lee Woo-Ram,Woo-Ram,KR,KR100890463B1/en,이우람,2017
US09534040,KR,Kim Young-Rim,Young-Rim,KR,KR100890463B1/en,김영림,2017
US09534040,KR,Sohn Jong-Nam,Jong-Nam,KR,KR100890463B1/en,손종남,2017
US09534040,KR,Lee Seung-Hyun,Seung-Hyun,KR,KR100890463B1/en,이승현,2017
US09534040,KR,Song Jae Young,Jae Young,KR,KR100890463B1/en,송재영,2017
US09534040,KR,Choi Eun Jin,Eun Jin,KR,KR100890463B1/en,최은진,2017
US09534069,KR,Woo Chang Soo,Chang Soo,KR,KR101526007B1/en,우창수,2017
US09534069,KR,Chang Seung Woo,Seung Woo,KR,KR101526007B1/en,장승우,2017
US09534069,KR,Chun Hwan Sung,Hwan Sung,KR,KR101526007B1/en,전환승,2017
US09534069,KR,Choi Seung Jib,Seung Jib,KR,KR101526007B1/en,최승집,2017
US09534087,KR,Park In,In,KR,KR101501015B1/en,박인,2017
US09534087,KR,Hwang Ha Soo,Ha Soo,KR,KR101501015B1/en,황하수,2017
US09534113,KR,Youn Bum Seok,Bum Seok,KR,KR101459120B1/en,윤범석,2017
US09534113,KR,Park Kang Yeol,Kang Yeol,KR,KR101459120B1/en,박강열,2017
US09534113,KR,Kim Jong Yeun,Jong Yeun,KR,KR101459120B1/en,김종연,2017
US09534113,KR,Kim Jung Wook,Jung Wook,KR,KR101459120B1/en,김정욱,2017
US09534143,KR,Yoo Hye Jin,Hye Jin,KR,KR101313441B1/en,유혜진,2017
US09534143,KR,Jung Jin Ho,Jin Ho,KR,KR101313441B1/en,정진호,2017
US09534143,KR,Kim Jung Su,Jung Su,KR,KR101313441B1/en,김정수,2017
US09534143,KR,Ha Bong Woo,Bong Woo,KR,KR101313441B1/en,하봉우,2017
US09534143,KR,Byeon Chang Se,Chang Se,KR,KR101313441B1/en,변창세,2017
US09534143,KR,Lee Jung Hwan,Jung Hwan,KR,KR101313441B1/en,이정환,2017
US09534143,KR,Kim Jong-Sang,Jong-Sang,KR,KR101313441B1/en,김종상,2017
US09534143,KR,Kim Jin Tae,Jin Tae,KR,KR101313441B1/en,김진태,2017
US09534149,KR,Kim Jang-Soon,Jang-Soon,KR,KR101585270B1/en,김장순,2017
US09534149,KR,Song Min-Seok,Min-Seok,KR,KR101585270B1/en,송민석,2017
US09534149,KR,Lee Eok-Hyung,Eok-Hyung,KR,KR101585270B1/en,이억형,2017
US09534149,KR,Choi Won-Gu,Won-Gu,KR,KR101585270B1/en,최원구,2017
US09534149,KR,Lee Jae-Gwan,Jae-Gwan,KR,KR101585270B1/en,이재관,2017
US09534149,KR,Lee Yong-Hoon,Yong-Hoon,KR,KR101585270B1/en,이용훈,2017
US09534149,KR,Han Hak-Rhim,Hak-Rhim,KR,KR101585270B1/en,한학림,2017
US09534154,KR,Seo Jin Young,Jin Young,KR,KR101355856B1/en,서진영,2017
US09534154,KR,Kim Hyun Wook,Hyun Wook,KR,KR101355856B1/en,김현욱,2017
US09534154,KR,Namkung Hyun Hee,Hyun Hee,KR,KR101355856B1/en,남궁현희,2017
US09534154,KR,Sul Kyung Il,Kyung Il,KR,KR101355856B1/en,설경일,2017
US09534154,KR,Uh Dong Seon,Dong Seon,KR,KR101355856B1/en,어동선,2017
US09534154,KR,Jung Kwang Jin,Kwang Jin,KR,KR101355856B1/en,정광진,2017
US09534154,KR,Han Jae Sun,Jae Sun,KR,KR101355856B1/en,한재선,2017
US09534210,KR,Park Han Oh,Han Oh,KR,KR101818126B1/en,박한오,2017
US09534210,KR,Yang Sung Jun,Sung Jun,KR,KR101818126B1/en,양성준,2017
US09534210,KR,Joo Sung Mo,Sung Mo,KR,KR101818126B1/en,주성모,2017
US09534210,KR,Hwang Byoung Oh,Byoung Oh,KR,KR101818126B1/en,황병오,2017
US09534231,KR,Kim Woo Taek,Woo Taek,KR,KR101416506B1/en,김우택,2017
US09534231,KR,Kim Eun Yu,Eun Yu,KR,KR101416506B1/en,김은유,2017
US09534231,KR,Seo Ji Ho,Ji Ho,KR,KR101416506B1/en,서지호,2017
US09534231,KR,Park Ki Youl,Ki Youl,KR,KR101416506B1/en,박기열,2017
US09534240,KR,Shin Yong Uk,Yong Uk,KR,KR101359844B1/en,신용욱,2017
US09534240,KR,Kim So Young,So Young,KR,KR101359844B1/en,김소영,2017
US09534240,KR,Heo In Kyung,In Kyung,KR,KR101359844B1/en,허인경,2017
US09534240,KR,Kim Ju Eun,Ju Eun,KR,KR101359844B1/en,김주은,2017
US09534240,KR,Son Sung Kwang,Sung Kwang,KR,KR101359844B1/en,손성광,2017
US09534240,KR,Lee Jae Hee,Jae Hee,KR,KR101359844B1/en,이재희,2017
US09534240,KR,Lee Ji Hyun,Ji Hyun,KR,KR101359844B1/en,이지현,2017
US09534240,KR,Kim Chang Gyeom,Chang Gyeom,KR,KR101359844B1/en,김창겸,2017
US09534247,KR,Park Jeong Woong,Jeong Woong,KR,KR101144594B1/en,박정웅,2017
US09534247,KR,Woo Dong Jin,Dong Jin,KR,KR101144594B1/en,우동진,2017
US09534247,KR,Im Seong Bin,Seong Bin,KR,KR101144594B1/en,임성빈,2017
US09534247,KR,Kim Sang Woo,Sang Woo,KR,KR101144594B1/en,김상우,2017
US09534284,KR,Noh Eun Sik,Eun Sik,KR,KR101429456B1/en,노은식,2017
US09534284,KR,Jung Sam Rae,Sam Rae,KR,KR101429456B1/en,정삼례,2017
US09534288,KR,Choi Young-Mook,Young-Mook,KR,KR102081284B1/en,최영묵,2017
US09534288,KR,Hong Jong-Won,Jong-Won,KR,KR102081284B1/en,홍종원,2017
US09534312,KR,Choi Jae-young,Jae-young,KR,KR101344493B1/en,최재영,2017
US09534312,KR,Shin Hyeon-Jin,Hyeon-Jin,KR,KR101344493B1/en,신현진,2017
US09534312,KR,Yoon Seon-mi,Seon-mi,KR,KR101344493B1/en,윤선미,2017
US09534312,KR,Han Jai-yong,Jai-yong,KR,KR101344493B1/en,한재용,2017
US09534316,KR,Kim Byung Sook,Byung Sook,KR,KR20130085841A/en,김병숙,2017
US09534316,KR,Shin Dong Geun,Dong Geun,KR,KR20130085841A/en,김범섭,2017
US09534316,KR,Kim Bum Sup,Bum Sup,KR,KR20130085841A/en,신동근,2017
US09534316,KR,Han Jung Eun,Jung Eun,KR,KR20130085841A/en,한정은,2017
US09534331,US,Im Myong Hun,Myong Hun,KR,KR101685358B1/en,이성민,2017
US09534331,US,Lee Sung Min,Sung Min,KR,KR101685358B1/en,손창우,2017
US09534331,US,Son Chang Woo,Chang Woo,KR,KR101685358B1/en,임명훈,2017
US09534369,US,Rhee Dong Sop,Dong Sop,KR,KR101394129B1/en,이동섭,2017
US09534369,US,Cho Gil Je,Gil Je,KR,KR101394129B1/en,조길제,2017
US09534369,US,Lee Du Han,Du Han,KR,KR101394129B1/en,이두한,2017
US09534369,US,Hwang Seung Yong,Seung Yong,KR,KR101394129B1/en,황승용,2017
US09534369,US,Kim Myoung Hwan,Myoung Hwan,KR,KR101394129B1/en,김명환,2017
US09534428,US,Kim Sung Han,Sung Han,KR,KR101495643B1/en,김성한,2017
US09534428,US,Park Hyeon Tae,Hyeon Tae,KR,KR101495643B1/en,박현태,2017
US09534429,KR,Hur Sang Beom,Sang Beom,KR,KR101434980B1/en,허상범,2017
US09534429,KR,Ahn Ki Ryun,Ki Ryun,KR,KR101434980B1/en,안기륜,2017
US09534429,KR,Oh Jong Chul,Jong Chul,KR,KR101434980B1/en,오종철,2017
US09534545,US,Ko Jin-Woo,Jin-Woo,KR,KR101625583B1/en,고진우,2017
US09534568,KR,Lim Jaepil,Jaepil,KR,KR101362058B1/en,임재필,2017
US09534568,KR,Jeong Chan Seok,Chan Seok,KR,KR101362058B1/en,정찬석,2017
US09534645,KR,Lee Ho Young,Ho Young,KR,KR101628528B1/en,이호영,2017
US09534646,KR,Cho Sung Hyun,Sung Hyun,KR,KR101628519B1/en,조성현,2017
US09534646,KR,Hur Hwan,Hwan,KR,KR101628519B1/en,허환,2017
US09534653,KR,Kim Hong Sig,Hong Sig,KR,KR101671967B1/en,김홍식,2017
US09534666,KR,Cho Wonmin,Wonmin,KR,KR101664057B1/en,조원민,2017
US09534666,KR,Kook Jae Chang,Jae Chang,KR,KR101664057B1/en,국재창,2017
US09534666,KR,Noh Myeong Hoon,Myeong Hoon,KR,KR101664057B1/en,노명훈,2017
US09534666,KR,Ji Seongwook,Seongwook,KR,KR101664057B1/en,지성욱,2017
US09534666,KR,Seo Kangsoo,Kangsoo,KR,KR101664057B1/en,서강수,2017
US09534666,KR,Hwang Seong Wook,Seong Wook,KR,KR101664057B1/en,황성욱,2017
US09534667,KR,Kook Jae Chang,Jae Chang,KR,KR101724859B1/en,국재창,2017
US09534667,KR,Hwang Seong Wook,Seong Wook,KR,KR101724859B1/en,황성욱,2017
US09534667,KR,Kwon Hyun Sik,Hyun Sik,KR,KR101724859B1/en,권현식,2017
US09534667,KR,Ji Seong Wook,Seong Wook,KR,KR101724859B1/en,지성욱,2017
US09534667,KR,Cho Won Min,Won Min,KR,KR101724859B1/en,조원민,2017
US09534667,KR,Jang Wook Jin,Wook Jin,KR,KR101724859B1/en,장욱진,2017
US09534667,KR,Noh Myeong Hoon,Myeong Hoon,KR,KR101724859B1/en,노명훈,2017
US09534668,KR,Cho Won Min,Won Min,KR,KR101724863B1/en,조원민,2017
US09534668,KR,Kook Jae Chang,Jae Chang,KR,KR101724863B1/en,국재창,2017
US09534668,KR,Hwang Seong Wook,Seong Wook,KR,KR101724863B1/en,황성욱,2017
US09534668,KR,Kwon Hyun Sik,Hyun Sik,KR,KR101724863B1/en,권현식,2017
US09534668,KR,Ji Seong Wook,Seong Wook,KR,KR101724863B1/en,지성욱,2017
US09534668,KR,Seo Kang Soo,Kang Soo,KR,KR101724863B1/en,서강수,2017
US09534668,KR,Noh Myeong Hoon,Myeong Hoon,KR,KR101724863B1/en,노명훈,2017
US09534669,KR,Kwon Hyun Sik,Hyun Sik,KR,KR101836277B1/en,권현식,2017
US09534669,KR,Hwang Seong Wook,Seong Wook,KR,KR101836277B1/en,황성욱,2017
US09534669,KR,Cho Wonmin,Wonmin,KR,KR101836277B1/en,조원민,2017
US09534669,KR,Kook Jae Chang,Jae Chang,KR,KR101836277B1/en,국재창,2017
US09534669,KR,Ji Seongwook,Seongwook,KR,KR101836277B1/en,지성욱,2017
US09534670,KR,Ji Seongwook,Seongwook,KR,KR101744816B1/en,지성욱,2017
US09534670,KR,Seo Kangsoo,Kangsoo,KR,KR101744816B1/en,서강수,2017
US09534670,KR,Kook Jae Chang,Jae Chang,KR,KR101744816B1/en,국재창,2017
US09534670,KR,Hwang Seong Wook,Seong Wook,KR,KR101744816B1/en,황성욱,2017
US09534670,KR,Shim Hyu Tae,Hyu Tae,KR,KR101744816B1/en,심휴태,2017
US09534670,KR,Cho Wonmin,Wonmin,KR,KR101744816B1/en,조원민,2017
US09534670,KR,Kwon Hyun Sik,Hyun Sik,KR,KR101744816B1/en,권현식,2017
US09534670,KR,Jang Wookjin,Wookjin,KR,KR101744816B1/en,장욱진,2017
US09534670,KR,Noh Myeong Hoon,Myeong Hoon,KR,KR101744816B1/en,노명훈,2017
US09534677,KR,Kim Hyun-Suk,Hyun-Suk,KR,KR101526403B1/en,김현석,2017
US09534677,KR,Shin Yong Uk,Yong Uk,KR,KR101526403B1/en,신용욱,2017
US09534744,KR,Lee Sang Won,Sang Won,KR,KR100986380B1/en,박규형,2017
US09534744,KR,Bak Gyu Hyeong,Gyu Hyeong,KR,KR100986380B1/en,이상원,2017
US09534754,KR,Kim Duk Yong,Duk Yong,KR,KR200483092Y1/en,김덕용,2017
US09534757,KR,Kang Dong Gon,Dong Gon,KR,KR102089571B1/en,강동곤,2017
US09534791,KR,Wie Jeahyuk,Jeahyuk,KR,KR101564503B1/en,위재혁,2017
US09534791,KR,Yang Ingyu,Ingyu,KR,KR101564503B1/en,양인규,2017
US09534791,KR,Kim Youngsoo,Youngsoo,KR,KR101564503B1/en,김영수,2017
US09534791,KR,Kim Yangho,Yangho,KR,KR101564503B1/en,김양호,2017
US09534806,KR,Kim Seontaek,Seontaek,KR,KR20160043402A/en,김선택,2017
US09534806,KR,Kim Nakhoon,Nakhoon,KR,KR20160043402A/en,김낙훈,2017
US09534806,KR,Lee Kyooho,Kyooho,KR,KR20160043402A/en,이규호,2017
US09534821,KR,Yoon Sinn Bong,Sinn Bong,KR,KR20130014080A/en,윤신봉,2017
US09534821,KR,Chang Eui Young,Eui Young,KR,KR20130014080A/en,장의영,2017
US09534821,KR,Choi Jong Chul,Jong Chul,KR,KR20130014080A/en,최종철,2017
US09534821,KR,Kim Yong Han,Yong Han,KR,KR20130014080A/en,김용한,2017
US09534821,KR,Lee Won Je,Won Je,KR,KR20130014080A/en,이원제,2017
US09534821,KR,Si Jong Eon,Jong Eon,KR,KR20130014080A/en,시종언,2017
US09534823,KR,Park Gwigeun,Gwigeun,KR,KR102314037B1/en,박귀근,2017
US09534823,KR,Eom Jaeboo,Jaeboo,KR,KR102314037B1/en,엄재부,2017
US09534823,KR,Kim Kihong,Kihong,KR,KR102314037B1/en,김기홍,2017
US09534828,KR,Kim Byoung Mok,Byoung Mok,KR,KR20140094115A/en,김병목,2017
US09534828,KR,Kim Seong Woo,Seong Woo,KR,KR20140094115A/en,김성우,2017
US09534828,KR,Seo Yong Bum,Yong Bum,KR,KR20140094115A/en,서용범,2017
US09534828,KR,Yang Seung Yong,Seung Yong,KR,KR20140094115A/en,양승용,2017
US09534832,KR,Moon Young Kyu,Young Kyu,KR,KR101936883B1/en,문영규,2017
US09534832,KR,Lee Hyun Myung,Hyun Myung,KR,KR101936883B1/en,이현명,2017
US09534832,KR,Chang Eui Young,Eui Young,KR,KR101936883B1/en,장의영,2017
US09534832,KR,Jo Gyu Hyun,Gyu Hyun,KR,KR101936883B1/en,조규현,2017
US09534832,KR,Lee Chang Sun,Chang Sun,KR,KR101936883B1/en,이창선,2017
US09534839,KR,Lee Hyosan,Hyosan,KR,KR101874901B1/en,이효산,2017
US09534839,KR,Ko Yongsun,Yongsun,KR,KR101874901B1/en,고용선,2017
US09534839,KR,Kim Kyongseob,Kyongseob,KR,KR101874901B1/en,김경섭,2017
US09534839,KR,Kim Kwangsu,Kwangsu,KR,KR101874901B1/en,김광수,2017
US09534839,KR,Kim SeokHoon,SeokHoon,KR,KR101874901B1/en,김석훈,2017
US09534839,KR,Lee Kuntack,Kuntack,KR,KR101874901B1/en,이근택,2017
US09534839,KR,Jun Yongmyung,Yongmyung,KR,KR101874901B1/en,전용명,2017
US09534839,KR,Cho Yong-Jhin,Yong-Jhin,KR,KR101874901B1/en,조용진,2017
US09534841,KR,Yang Jeong Gyu,Jeong Gyu,KR,KR101438618B1/en,양정규,2017
US09534841,KR,Park Byung-Ook,Byung-Ook,KR,KR101438618B1/en,박병욱,2017
US09534841,KR,Park Sae-Jun,Sae-Jun,KR,KR101438618B1/en,박세준,2017
US09534847,KR,Do Young-Hoon,Young-Hoon,KR,KR101402539B1/en,도영훈,2017
US09534847,KR,Bae Myung-Hun,Myung-Hun,KR,KR101402539B1/en,배명훈,2017
US09534847,KR,Jung Suk-Chul,Suk-Chul,KR,KR101402539B1/en,정석철,2017
US09534849,KR,Kim Jae Yeon,Jae Yeon,KR,KR20140143650A/en,김재연,2017
US09534849,KR,Cho Wan Je,Wan Je,KR,KR20140143650A/en,조완제,2017
US09534849,KR,Lee Sang-Ok,Sang-Ok,KR,KR20140143650A/en,이상옥,2017
US09534849,KR,An Byoung Hoon,Byoung Hoon,KR,KR20140143650A/en,안병훈,2017
US09534849,KR,Kim Yoon Sung,Yoon Sung,KR,KR20140143650A/en,김윤성,2017
US09534849,KR,Lee Soon-Jong,Soon-Jong,KR,KR20140143650A/en,이순종,2017
US09534849,KR,Choi Jun-Young,Jun-Young,KR,KR20140143650A/en,최준영,2017
