publication_id,country,english_names,english_first_names,inventor_country,worldwide_application,original_names,year
USD0775625,KR,Kim Dong-Hyun,Dong-Hyun,KR,KR101515629B1/en,김동현,2017
US09532634,KR,Lee Cheon Sook,Cheon Sook,KR,KR101469765B1/en,이영훈,2017
US09532636,KR,Jung Ku Youl,Ku Youl,KR,KR101318467B1/en,정규열,2017
US09532637,KR,Choi Jung Sun,Jung Sun,KR,KR20140094485A/en,최정선,2017
US09532637,KR,Kim Kyung Nam,Kyung Nam,KR,KR20140094485A/en,김경남,2017
US09532637,KR,Jung Ha Jin,Ha Jin,KR,KR20140094485A/en,정하진,2017
US09532637,KR,Choi Kyung Ho,Kyung Ho,KR,KR20140094485A/en,최경호,2017
US09532637,KR,Choi Yeong Jin,Yeong Jin,KR,KR20140094485A/en,최영진,2017
US09532641,KR,Kim Il Tae,Il Tae,KR,KR200478791Y1/en,김일태,2017
US09532690,KR,Jang Jae Hwi,Jae Hwi,KR,KR102125334B1/en,장재휘,2017
US09532690,KR,Park Young Jae,Young Jae,KR,KR102125334B1/en,박영재,2017
US09532690,KR,Kim Sin Ae,Sin Ae,KR,KR102125334B1/en,김신애,2017
US09532690,KR,Kim Won Kuk,Won Kuk,KR,KR102125334B1/en,김원국,2017
US09532690,KR,Sin Hyo Won,Hyo Won,KR,KR102125334B1/en,신효원,2017
US09532723,KR,Kim Youngsik,Youngsik,KR,KR20160015719A/en,김영식,2017
US09532723,KR,Shim Hongjo,Hongjo,KR,KR20160015719A/en,심홍조,2017
US09532726,KR,Kim Yoon Nyun,Yoon Nyun,KR,KR101381424B1/en,김윤년,2017
US09532726,KR,Lee Jong Ha,Jong Ha,KR,KR101381424B1/en,이종하,2017
US09532726,KR,Park Hee Jun,Hee Jun,KR,KR101381424B1/en,박희준,2017
US09532726,KR,Park Hyoung Seob,Hyoung Seob,KR,KR101381424B1/en,박형섭,2017
US09532726,KR,Son Chang Sik,Chang Sik,KR,KR101381424B1/en,손창식,2017
US09532753,KR,Kim Tae Woo,Tae Woo,KR,KR20140044174A/en,김태우,2017
US09532753,KR,Choi Sung Il,Sung Il,KR,KR20140044174A/en,최성일,2017
US09532755,KR,Choi Sung Il,Sung Il,KR,KR101190801B1/en,최성일,2017
US09532755,KR,Cho Hyo Sung,Hyo Sung,KR,KR101190801B1/en,조효성,2017
US09532762,KR,Cho Baek Hwan,Baek Hwan,KR,KR20150098119A/en,조백환,2017
US09532762,KR,Seong Yeong Kyeong,Yeong Kyeong,KR,KR20150098119A/en,성영경,2017
US09532762,KR,Kim Ye Hoon,Ye Hoon,KR,KR20150098119A/en,김예훈,2017
US09532763,KR,Lee Duhgoon,Duhgoon,KR,KR101431781B1/en,이덕운,2017
US09532763,KR,Jung Phill Gu,Phill Gu,KR,KR101431781B1/en,정필구,2017
US09532763,KR,Chung Myung Jin,Myung Jin,KR,KR101431781B1/en,정명진,2017
US09532765,KR,Jeong Ji Wook,Ji Wook,KR,KR102186096B1/en,정지욱,2017
US09532765,KR,Lee Soo Yeul,Soo Yeul,KR,KR102186096B1/en,이수열,2017
US09532767,KR,Cho Kyung Il,Kyung Il,KR,KR101383298B1/en,조경일,2017
US09532767,KR,Kim Dong Wook,Dong Wook,KR,KR101383298B1/en,김동욱,2017
US09532839,KR,Seo Kee Hong,Kee Hong,KR,KR20150017129A/en,서기홍,2017
US09532855,KR,Kim Yong Hyeop,Yong Hyeop,KR,KR101253498B1/en,김용협,2017
US09532934,KR,Choi Jung Sun,Jung Sun,KR,KR102073275B1/en,최정선,2017
US09532934,KR,Kim Kyung Nam,Kyung Nam,KR,KR102073275B1/en,김경남,2017
US09532934,KR,Choi Kyung Ho,Kyung Ho,KR,KR102073275B1/en,최경호,2017
US09533008,KR,Kim Dong Huen,Dong Huen,KR,KR101497514B1/en,김동헌,2017
US09533074,KR,Kwon Jin Sook,Jin Sook,KR,KR101116673B1/en,권진숙,2017
US09533074,KR,Ahn Young Keun,Young Keun,KR,KR101116673B1/en,안영근,2017
US09533074,KR,Jeong Myung Ho,Myung Ho,KR,KR101116673B1/en,정명호,2017
US09533074,KR,Song Sun Jung,Sun Jung,KR,KR101116673B1/en,송선정,2017
US09533074,KR,Cho Dong Lyun,Dong Lyun,KR,KR101116673B1/en,조동련,2017
US09533194,KR,Hwang In Hong,In Hong,KR,KR101433537B1/en,황인홍,2017
US09533194,KR,Moon Kyung Ahn,Kyung Ahn,KR,KR101433537B1/en,문경안,2017
US09533264,KR,Kong Hye Young,Hye Young,KR,KR101936924B1/en,공혜영,2017
US09533264,KR,Kwon Bok Soon,Bok Soon,KR,KR101936924B1/en,권복순,2017
US09533264,KR,Han Sung Soo,Sung Soo,KR,KR101936924B1/en,한성수,2017
US09533264,KR,Han Jung Im,Jung Im,KR,KR101936924B1/en,한정임,2017
US09533265,KR,Choi Jae-young,Jae-young,KR,KR101920716B1/en,최재영,2017
US09533265,KR,Park Ho-bum,Ho-bum,KR,KR101920716B1/en,박호범,2017
US09533265,KR,Yoon Seon-mi,Seon-mi,KR,KR101920716B1/en,윤선미,2017
US09533265,KR,Kim Hyo-won,Hyo-won,KR,KR101920716B1/en,김효원,2017
US09533265,KR,Ahn Byung-kook,Byung-kook,KR,KR101920716B1/en,안병국,2017
US09533265,KR,Yoo Byung-min,Byung-min,KR,KR101920716B1/en,유병민,2017
US09533265,KR,Yoon Hee-wook,Hee-wook,KR,KR101920716B1/en,윤희욱,2017
US09533287,KR,Lee Seung Jae,Seung Jae,KR,KR102221550B1/en,이승재,2017
US09533287,KR,Son In Hyuk,In Hyuk,KR,KR102221550B1/en,손인혁,2017
US09533287,KR,Lee Hyunjoo,Hyunjoo,KR,KR102221550B1/en,이현주,2017
